id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20191025,R 10 000 2 Bedroom Apartment / Flat to Rent in Saxonwold Location! Location! Location!!! This secure 2 bed garden cottage is perfectly situated a mere stone throw away from Rosebank and Hyde Park. Fully furnished ... 2 | 1,2 Bedroom Apartment / flat to rent in Saxonwold - Johannesburg, Reliable Realty,R 10 000,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Saxonwold,
20191026,R 27 000 3 Bedroom Townhouse to Rent in Houghton Estate This unit is FULLY FURNISHED The Rental includes: - Garden Service -Daily onsite maintenance if ... Available: 01 May 2019 3 | 2.5 | 2 Floor Size: 215 m²,3 Bedroom Townhouse to rent in Houghton Estate - Johannesburg, Rental,R 27 000,,Available: 01 May 2019,Beds,3,2.5,215 m²,3 Bedroom Townhouse to Rent in Houghton Estate,
20191027,"R 25 000 3 Bedroom Townhouse to Rent in Craighall This brand new elegant contemporary cluster is positioned within walking distance to Hyde Park, It is also close to Sandton Rosebank and other neighbouring ... 3 | 3.5 | 2 Floor Size: 212 m²",3 Bedroom Townhouse to rent in Craighall - Johannesburg, Limestone Residential Properties,R 25 000,,,Beds,3,3 | 3.5 | 2, Floor Size: 212 m²,3 Bedroom Townhouse to Rent in Craighall,212 m²
20191028,"R 19 000 3 Bedroom Apartment / Flat to Rent in Dunkeld West Modern Classic Architecture. 24 hour Security Guard With 3 bright large bedrooms (main en-suite), 2nd and 3rd bedroom with 2nd bathroom. Spacious open plan ... 3 | 2 Floor Size: 175 m²",3 Bedroom Apartment / flat to rent in Dunkeld West - Johannesburg, Adrienne Hersch Properties,R 19 000,,,Beds,3,3 | 2, Floor Size: 175 m²,3 Bedroom Apartment / Flat to Rent in Dunkeld West,175 m²
20191029,"R 13 500 Alwyn Avenue, Bassonia 4 Bedroom Townhouse to Rent in Bassonia Executive Living Manhattan styled 212SQM Bassonia Townhouse. Modern, Luxurious, Secure with Views. Ideally Located in the Heart of Bassonia with unsurpassed ... 4 | 2",4 Bedroom Townhouse to rent in Bassonia - Johannesburg, Chas Everitt Glenvista,R 13 500,"Alwyn Avenue, Bassonia",,Beds,4,4 | 2, ,4 Bedroom Townhouse to Rent in Bassonia,
20191030,"R 6 100 13 Oakdene Park, Oakdene 1 Bedroom Apartment / Flat to Rent in Oakdene 1Bed 1bath apartment with modern finishes such as granite tops and gas stove on 3rd floor with spacious ... Available: 09 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Oakdene - Johannesburg, IHS Property Management,R 6 100,"13 Oakdene Park, Oakdene",Available: 09 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Oakdene,
20191031,"R 5 850 426 Rifle Range Road, Rosettenville 2 Bedroom Apartment / Flat to Rent in Rosettenville This newly renovated complex is situated on Rifle Range Road in Towerby, 1,1km from the N12 Kliprivier onramp ... Available: 13 March 2018 2 | 1",2 Bedroom Apartment / flat to rent in Rosettenville - Johannesburg, Mafadi Property Management Office,R 5 850,"426 Rifle Range Road, Rosettenville",Available: 13 March 2018,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Rosettenville,
20191032,R 11 000 2 Bedroom Apartment / Flat to Rent in Killarney This 2 Bedroom Apartment is situated in a beautiful modern complex in Killarney. An open plan lounge and ... Available: 02 April 2019 2 | 1 Erf Size: 180 m²,2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, CP Inc Realtors,R 11 000,,Available: 02 April 2019,Beds,2,1,180 m²,2 Bedroom Apartment / Flat to Rent in Killarney,
20191033,R 17 000 2 Bedroom Apartment / Flat to Rent in Killarney Beautiful Killarney apartment available to rent from April 4th - unfurnished or partly furnished. This ... Available: 04 April 2019 2 | 2 | 1 Erf Size: 159 m²,2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, CP Inc Realtors,R 17 000,,Available: 04 April 2019,Beds,2,2,159 m²,2 Bedroom Apartment / Flat to Rent in Killarney,
20191034,R 11 000 2 Bedroom Apartment / Flat to Rent in Killarney This 2 Bedroom Apartment is situated in a beautiful modern complex in Killarney. An open plan lounge and ... Available: 02 April 2019 2 | 1 Erf Size: 180 m²,2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, CP Inc Realtors,R 11 000,,Available: 02 April 2019,Beds,2,1,180 m²,2 Bedroom Apartment / Flat to Rent in Killarney,
20191035,"R 35 000 2 Bedroom Apartment / Flat to Rent in Melrose Arch Enjoy the benefits of living in a garden duplex apartment right in 40 on Oak, Melrose Arch The fire and ice on your front door steps .... At a rental ... 2 | 2.5 Floor Size: 4 684 m²",2 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Pam Golding Properties - Melrose Arch Letting,R 35 000,,,Beds,2,2 | 2.5, Floor Size: 4 684 m²,2 Bedroom Apartment / Flat to Rent in Melrose Arch,4 684 m²
20191036,R 1 200 1 Bedroom Apartment / Flat to Rent in Zakariyya Park Top and ground floor rooms to rent in Zakariyya Park extension 4. Total 8 rooms. Which is in a quiet area any time of the day. Communal Shower and Toilet. ... 1, NV Homes, Beds, , , ,1,,,,,
20191037,"R 10 800 13 Oakdene Park, Oakdene 3 Bedroom Apartment / Flat to Rent in Oakdene 1st month rent free!!! Save - save - save!! 3Bed 2bath, modern kitchen and spacious lounge with enclosed ... Available: 15 April 2019 3 | 2",3 Bedroom Apartment / flat to rent in Oakdene - Johannesburg, IHS Property Management,R 10 800,"13 Oakdene Park, Oakdene",Available: 15 April 2019,Beds,3,2,,3 Bedroom Apartment / Flat to Rent in Oakdene,
20191038,R 11 500 2 Bedroom Apartment / Flat to Rent in Melrose North Unfurnished 75 Square metres Sunny north facing Two Bedrooms En suite Bathroom with shower and second ... Available: 05 March 2019 2 | 2 | 2 Floor Size: 75 m², Beds, Bathrooms,,, ,2,75 m²,,,Available: 05 March 2019,
20191039,R 49 000 2 Bedroom Apartment / Flat to Rent in Melrose Arch FULLY FURNISHED 3 LEVEL PENTHOUSE UNIT FOR RENT Based in the heart of Melrose Arch with all the the amenities one could ever want such as a Virgin Active ... 2 | 2 | 2 Floor Size: 204 m²,2 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Chas Everitt Hyde Park,R 49 000,,,Beds,2,2 | 2 | 2, Floor Size: 204 m²,2 Bedroom Apartment / Flat to Rent in Melrose Arch,204 m²
20191040,"R 12 000 89 Atholl Oaklands, Eltonhill 2 Bedroom Apartment / Flat to Rent in Eltonhill Spacious & Secure upstairs apartment in this well maintained complex. 2 Bedrooms , 2 bathrooms , open ... Available: 15 March 2019 2 | 2 Floor Size: 88 m²",2 Bedroom Apartment / flat to rent in Eltonhill - Johannesburg, Knightbridge Properties,R 12 000,"89 Atholl Oaklands, Eltonhill",Available: 15 March 2019,Beds,2,2,88 m²,2 Bedroom Apartment / Flat to Rent in Eltonhill,
20191041,"R 12 500 The Fitzgerald, 50a Kernick Avenue, Melrose North 1 Bedroom Apartment / Flat to Rent in Melrose North This top floor corner apartment is situated at the back of the building away from Atholl Oaklands and is ... Available: 12 March 2019 1 | 1 | 1 Floor Size: 52 m²",1 Bedroom Apartment / flat to rent in Melrose North - Johannesburg, Seeff Sandton,R 12 500,"The Fitzgerald, 50a Kernick Avenue, Melrose North",Available: 12 March 2019,Beds,1,1,52 m²,1 Bedroom Apartment / Flat to Rent in Melrose North,
20191042,R 17 000 2 Bedroom Apartment / Flat to Rent in Killarney Respond to this advert online. Book into a viewing from your email. Meet the landlord at the ... Available: 01 May 2019 2 | 2 Erf Size: 159 m², Beds, Bathrooms,,, ,2,159 m²,,,Available: 01 May 2019,
20191043,"R 5 000 100 Jorissen Street, Braamfontein Apartment / Flat to Rent in Braamfontein Spacious Bachelor Apartment Available Immediately. Has a Modern feel to the Kitchen. Dark Wood cupboards and ... Available: 28 March 2019 1", ,  ,Apartment / Flat to Rent in Braamfontein,Spacious Bachelor Apartment Available Immediately. Has a Modern feel to the Kitchen. Dark Wood cupboards and ...,,,,,,,
20191044,"R 40 000 35 West Avenue, Melrose 4 Bedroom Townhouse to Rent in Melrose 4 Bedroom Furnished Cluster to Rent in Melrose Downstairs offers: 2 living areas Open Plan Lounge and ... Available: 22 February 2019 4 | 4 | 2",4 Bedroom Townhouse to rent in Melrose - Johannesburg, Etchells & Young Property Brokers,R 40 000,"35 West Avenue, Melrose",Available: 22 February 2019,Beds,4,4,,4 Bedroom Townhouse to Rent in Melrose,
20191045,"R 7 900 6 Boundary Road Corner Ridge Road, Houghton, Houghton Estate Townhouse to Rent in Houghton Estate Secure 1 bed Mezzanine in the famous Houghton Village complex The unit features an open plan lounge and kitchen, bedroom and toilet and shower. The kitchen ...", ,Townhouse to rent in Houghton Estate - Johannesburg,,,,,,,,,
20191046,"R 7 900 6 Boundary Road Corner Ridge Road, Houghton, Houghton Estate Townhouse to Rent in Houghton Estate Secure 1 bed Mezzanine in the famous Houghton Village complex The unit features an open plan lounge and kitchen, bedroom and toilet and shower. The kitchen ...", ,Townhouse to rent in Houghton Estate - Johannesburg,,,,,,,,,
20191047,"R 10 800 13 Oakdene Park, Oakdene 3 Bedroom Apartment / Flat to Rent in Oakdene First month rent free!!!! Last chance!!!! Stunning ground floor 3Bed 2bath apartment, modern kitchen and ... Available: 03 April 2019 3 | 2",3 Bedroom Apartment / flat to rent in Oakdene - Johannesburg, IHS Property Management,R 10 800,"13 Oakdene Park, Oakdene",Available: 03 April 2019,Beds,3,2,,3 Bedroom Apartment / Flat to Rent in Oakdene,
20191048,"R 9 700 35 Stanley Avenue, Braamfontein Werf Apartment / Flat to Rent in Braamfontein Werf Beautiful 2 Bedroom Apartment available immediately. Perfect for a small starter family or students on the ... Available: 28 March 2019", ,Apartment / flat to rent in Braamfontein Werf - Johannesburg,Available: 28 March 2019,,,,,,,,
20191049,R 3 630 Apartment / Flat to Rent in Hillbrow This stunning bachelor pad would suit a bachelor of executive status. Absolutely spacious and comfortable. ... Available: 08 April 2019 1, Trafalgar Property Management, Bathrooms, , ,,,,,,Available: 08 April 2019,
20191050,"R 6 100 13 Oakdene Park, Oakdene 1 Bedroom Apartment / Flat to Rent in Oakdene View today!!! 1Bed 1bath apartment with modern finishes such as granite tops and gas stove on 3rd floor with ... Available: 09 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Oakdene - Johannesburg, IHS Property Management,R 6 100,"13 Oakdene Park, Oakdene",Available: 09 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Oakdene,
20191051,"R 6 100 13 Oakdene Park, Oakdene 1 Bedroom Apartment / Flat to Rent in Oakdene Modern 1Bed 1bath apartment with modern finishes such as granite tops and gas stove on 3rd floor with ... Available: 11 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Oakdene - Johannesburg, IHS Property Management,R 6 100,"13 Oakdene Park, Oakdene",Available: 11 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Oakdene,
20191052,R 11 000 2 Bedroom Apartment / Flat to Rent in Parktown Spacious 113sqm apartment To Let Open plan lounge and dining room Kitchen 2 Bedrooms 2 Bathrooms (main en ... Available: 03 April 2019 2 | 2 | 1 Floor Size: 113 m²,2 Bedroom Apartment / flat to rent in Parktown - Johannesburg, Zareena Kara Properties,R 11 000,,Available: 03 April 2019,Beds,2,2,113 m²,2 Bedroom Apartment / Flat to Rent in Parktown,
20191053,"R 9 900 40 Loveday Street, Marshalltown 2 Bedroom Apartment / Flat to Rent in Marshalltown Magnificent and modern, this Executive apartment is located in a Boutique style apartment building A ... Available: 01 April 2019 2 | 2 | 1 Floor Size: 105 m²",2 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Century 21 Sandton,R 9 900,"40 Loveday Street, Marshalltown",Available: 01 April 2019,Beds,2,2,105 m²,2 Bedroom Apartment / Flat to Rent in Marshalltown,
20191054,"R 5 850 Unit 367 Route 82, 2 Tamboti Street, Alveda 2 Bedroom Apartment / Flat to Rent in Alveda Apartment • 2 Bedroom, 1 bathroom Security • 24-hour security with patrolling guards and guard-house • 2.1m perimeter wall with 8 strand electric fence ... 2 | 1",2 Bedroom Apartment / flat to rent in Alveda - Johannesburg, 2LetNow - JHB,R 5 850,"Unit 367 Route 82, 2 Tamboti Street, Alveda",,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Alveda,
20191055,R 15 000 3 Bedroom Apartment / Flat to Rent in Houghton Estate 3 bedroom townhouse in a complex that is close to all amenities. Kitchen is open plan and has lots of ... Available: 01 July 2019 3 | 2 | 2,3 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Adrienne Hersch Properties,R 15 000,,Available: 01 July 2019,Beds,3,2,,3 Bedroom Apartment / Flat to Rent in Houghton Estate,
20191056,"R 10 900 6 Boundary Rd, Houghton Estate 2 Bedroom Apartment / Flat to Rent in Houghton Estate In High Demand! A 2 Bedroom unit in Houghton Village! Amazing cozy ground floor apartment is located in ... Available: 01 March 2019 2 | 2 | 2 Floor Size: 103 m²",2 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Rental,R 10 900,"6 Boundary Rd, Houghton Estate",Available: 01 March 2019,Beds,2,2,103 m²,2 Bedroom Apartment / Flat to Rent in Houghton Estate,
20191057,R 11 500 2 Bedroom Apartment / Flat to Rent in Parkview Easy-living and spacious spot with lots of natural light and good ventilation. Fully furnished and equipped. Suitable for a single professional or couple ... 2 Floor Size: 100 m², ,  ,2 Bedroom Apartment / Flat to Rent in Parkview,Easy-living and spacious spot with lots of natural light and good ventilation. Fully furnished and equipped. Suitable for a single professional or couple ..., Floor Size: 100 m²,100 m²,,,, ,
20191058,"R 6 350 2 Bedroom Apartment / Flat to Rent in Mondeor PLUS enjoy our deposit lay-by special, call to find out how. Spacious living areas, including a covered patio that is perfect for a relaxing weekend ... 2 | 1",2 Bedroom Apartment / flat to rent in Mondeor - Johannesburg, 2LetNow - JHB,R 6 350,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Mondeor,
20191059,R 11 000 2 Bedroom Apartment / Flat to Rent in Parktown Spacious 113sqm apartment To Let Open plan lounge and dining room Kitchen 2 Bedrooms 2 Bathrooms (main en ... Available: 03 April 2019 2 | 2 | 1 Floor Size: 113 m²,2 Bedroom Apartment / flat to rent in Parktown - Johannesburg, Zareena Kara Properties,R 11 000,,Available: 03 April 2019,Beds,2,2,113 m²,2 Bedroom Apartment / Flat to Rent in Parktown,
20191060,"R 11 000 50 Kernick, Melrose 1 Bedroom Apartment / Flat to Rent in Melrose Open plan kitchen with granite tops and plenty cupboard space. Large lounge and dining room leading onto ... Available: 20 March 2019 1 | 1",1 Bedroom Apartment / flat to rent in Melrose - Johannesburg, Silver Property Group,R 11 000,"50 Kernick, Melrose",Available: 20 March 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Melrose,
20191061,R 5 700 2 Bedroom Townhouse to Rent in Linmeyer This ground floor townhouse offers you 2 bedrooms with built-in cupboards and one bathroom with a bath. Open ... Available: 01 May 2019 2 | 1,2 Bedroom Townhouse to rent in Linmeyer - Johannesburg, Alpha Rentals,R 5 700,,Available: 01 May 2019,Beds,2,1,,2 Bedroom Townhouse to Rent in Linmeyer,
20191062,"R 9 000 63 Oxford Street, Saxonwold 1 Bedroom Apartment / Flat to Rent in Saxonwold Stunning apartment living in awesome location! Right on Oxford Street in the popular suburb of Saxonwold lies ... Available: 01 May 2019 1 | 1",1 Bedroom Apartment / flat to rent in Saxonwold - Johannesburg, EA Properties,R 9 000,"63 Oxford Street, Saxonwold",Available: 01 May 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Saxonwold,
20191063,"R 3 900 112 Pritchard and Delvers, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Situated in the hub of Johannesburg, this clean and well looked after building has all the advantages a city ... Available: 03 April 2019 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, IHS Property Management,R 3 900,"112 Pritchard and Delvers, Johannesburg Central",Available: 03 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20191064,"R 17 000 10 Kent Road, Dunkeld West 3 Bedroom Apartment / Flat to Rent in Dunkeld West A beautiful fresh looking apartment in the heart of Dunkeld West. Close to most amenities with easy access to ... Available: 01 April 2019 3 | 2 Erf Size: 121 m²",3 Bedroom Apartment / flat to rent in Dunkeld West - Johannesburg, Property.CoZa - Randburg,R 17 000,"10 Kent Road, Dunkeld West",Available: 01 April 2019,Beds,3,2,121 m²,3 Bedroom Apartment / Flat to Rent in Dunkeld West,
20191065,R 9 000 1 Bedroom Apartment / Flat to Rent in Houghton Estate Furnished Bachelor Pad where soft natural light permeates throughout the day. Meander up historical stone ... Available: 09 April 2019 1 | 1,1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Zareena Kara Properties,R 9 000,,Available: 09 April 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20191066,"R 26 000 70 Atholl Oaklands Road, Melrose Arch 1 Bedroom Apartment / Flat to Rent in Melrose Arch This unit is situated in 40 On Oak in the Melrose Arch precent surrounded by some of the top restaurants and ... Available: 01 March 2019 1 | 1 | 1 Floor Size: 93 m²",1 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Seeff Sandton,R 26 000,"70 Atholl Oaklands Road, Melrose Arch",Available: 01 March 2019,Beds,1,1,93 m²,1 Bedroom Apartment / Flat to Rent in Melrose Arch,
20191067,"R 12 000 Atholl Oaklands, Melrose 2 Bedroom Townhouse to Rent in Melrose Spacious & Secure upstairs apartment in this well maintained complex. 2 Bedrooms , 2 bathrooms , open ... Available: 22 March 2019 2 | 2",2 Bedroom Townhouse to rent in Melrose - Johannesburg, Knightbridge Properties,R 12 000,"Atholl Oaklands, Melrose",Available: 22 March 2019,Beds,2,2,,2 Bedroom Townhouse to Rent in Melrose,
20191068,"R 7 000 2 Bedroom Apartment / Flat to Rent in Rembrandt Park The complex is secure, very clean and is situated in a convenient area. Lovely two bedroom unit with 1 full ... Available: 01 April 2019 2 | 1 Floor Size: 82 m²",2 Bedroom Apartment / flat to rent in Rembrandt Park - Johannesburg, Trafalgar Property Management,R 7 000,,Available: 01 April 2019,Beds,2,1,82 m²,2 Bedroom Apartment / Flat to Rent in Rembrandt Park,
20191069,"R 27 000 001, 2 Old House Lane, Melrose Arch, Jhb, Sa, Melrose Arch 1 Bedroom Apartment / Flat to Rent in Melrose Arch BEST OF THE BEST Furnished 1 Bed Executive Corporate Apartment To Let Nestled in The Most Exclusive/Sought ... Available: 06 April 2019 1 | 1.5 | 1", Beds, Bathrooms,,, ,1.5,,,,Available: 06 April 2019,
20191070,R 2 448 Apartment / Flat to Rent in Jeppestown Be part of a new era of community living The building offers convenience in a prime location of Maboneneg ... Available: 08 March 2019 1 Floor Size: 20 m², Trafalgar Property Management, Bathrooms, , ,,,20 m²,,,Available: 08 March 2019,
20191071,"R 6 060 2 Bedroom Apartment / Flat to Rent in Joubert Park Make this two bedroom flat your home, FIRST MONTH RENTAL FREE. Dont delay viewing your new home Lock up and ... Available: 01 April 2019 2 | 1 Floor Size: 80 m²",2 Bedroom Apartment / flat to rent in Joubert Park - Johannesburg, Trafalgar Property Management,R 6 060,,Available: 01 April 2019,Beds,2,1,80 m²,2 Bedroom Apartment / Flat to Rent in Joubert Park,
20191072,"R 8 500 000 Shamwari, 40 Rooigras Avenue, Bassonia 3 Bedroom Townhouse to Rent in Bassonia 3 bedroom, 2 bathroom unit for Lease in the sought after area of Bassonia. Situated in a secure complex with ... Available: 01 April 2019 3 | 2 Erf Size: 22 870 m²",3 Bedroom Townhouse to rent in Bassonia - Johannesburg, Lencar Exclusive Properties,R 8 500,"000 Shamwari, 40 Rooigras Avenue, Bassonia",Available: 01 April 2019,Beds,3,2,22 870 m²,3 Bedroom Townhouse to Rent in Bassonia,
20191073,"R 5 700 2 Bedroom Townhouse to Rent in Linmeyer Townhouse in Linmeyer, 2 bedroom with BIC, 1 bathroom , Brand New Redone open plan kitchen with Granite tops ... Available: 01 June 2019 2 | 1 Floor Size: 50 m²",2 Bedroom Townhouse to rent in Linmeyer - Johannesburg, Rental,R 5 700,,Available: 01 June 2019,Beds,2,1,50 m²,2 Bedroom Townhouse to Rent in Linmeyer,
20191074,"R 8 950 2 Bedroom Apartment / Flat to Rent in Craighall Park A very rare find. A spacious, secure contemporary Garden Cottage, completely walled and separate from the ... Available: 01 June 2019 2 | 1 Floor Size: 62 m²",2 Bedroom Apartment / flat to rent in Craighall Park - Johannesburg, Rental,R 8 950,,Available: 01 June 2019,Beds,2,1,62 m²,2 Bedroom Apartment / Flat to Rent in Craighall Park,
20191075,"R 5 850 2 Bedroom Apartment / Flat to Rent in Alveda PLUS enjoy our deposit lay-by special, call to find out how. Spacious living areas, including a covered patio that is perfect for a relaxing weekend ... 2 | 1 Floor Size: 51 m²",2 Bedroom Apartment / flat to rent in Alveda - Johannesburg, 2LetNow - JHB,R 5 850,,,Beds,2,2 | 1, Floor Size: 51 m²,2 Bedroom Apartment / Flat to Rent in Alveda,51 m²
20191076,"R 5 500 Fox Street, Maboneng Apartment / Flat to Rent in Maboneng Main Street Life is the transformation of a 1970’s light industrial building into a contemporary & creative mixed use complex. The seven - storey building ... 1 Erf Size: 45 m²", ,  ,Apartment / Flat to Rent in Maboneng,Main Street Life is the transformation of a 1970’s light industrial building into a contemporary & creative mixed use complex. The seven - storey building ..., Erf Size: 45 m²,45 m²,,,,,
20191077,"R 7 500 1 Bedroom Apartment / Flat to Rent in Rosebank Looking for convinience? This is very ideal. The unit is a walking distance to the Rosebank Mall, Gautrain ... Available: 04 April 2019 1 | 1 Floor Size: 57 m²",1 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, RE/MAX Advantage,R 7 500,,Available: 04 April 2019,Beds,1,1,57 m²,1 Bedroom Apartment / Flat to Rent in Rosebank,
20191078,"R 12 500 00 Aspen Heights, Beryl Street, Bruma 3 Bedroom Townhouse to Rent in Bruma This larger than normal townhouse in upper Bruma offers 3 good sized bedrooms and a study downstairs that ... Available: 01 April 2019 3 | 2 | 1 Erf Size: 160 m²",3 Bedroom Townhouse to rent in Bruma - Johannesburg, Sotheby's International Realty - Craighall,R 12 500,"00 Aspen Heights, Beryl Street, Bruma",Available: 01 April 2019,Beds,3,2,160 m²,3 Bedroom Townhouse to Rent in Bruma,
20191079,R 34 000 2 Bedroom Apartment / Flat to Rent in Melrose Arch Enjoy everything Melrose Arch has to offer. A north / south facing luxuary apartment in sought after 40 on Oak development. Fully furnished and decorated ... 2 | 2.5 | 2 Floor Size: 122 m²,2 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Pam Golding Properties - Melrose Arch Letting,R 34 000,,,Beds,2,2 | 2.5 | 2, Floor Size: 122 m²,2 Bedroom Apartment / Flat to Rent in Melrose Arch,122 m²
20191080,"R 3 850 Ernest Oppenheimer Avenue, Kensington Apartment / Flat to Rent in Kensington 50% off of your 1st month's rent! First 100 applicants! Only 20 spots left! 1 free wash at our fully ... Available: 12 April 2019 1", CITYNET, Bathrooms, , ,,,,,,Available: 12 April 2019,
20191081,"R 5 500 1 Christal Ave, Meredale 2 Bedroom Apartment / Flat to Rent in Meredale First Month's deposit is Free The unit offers the following 2 Well sized bedrooms fully tiled and with ... Available: 09 April 2019 2 | 1",2 Bedroom Apartment / flat to rent in Meredale - Johannesburg, IHS Property Management,R 5 500,"1 Christal Ave, Meredale",Available: 09 April 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Meredale,
20191082,"R 40 000 35 Westwood Street, Melrose 4 Bedroom Townhouse to Rent in Melrose Fully furnished , trendy cluster home in sought after Melrose. This gorgeous unit is set in a small ... Available: 28 February 2019 4 | 4 | 2 Floor Size: 300 m²",4 Bedroom Townhouse to rent in Melrose - Johannesburg, Silver Property Group,R 40 000,"35 Westwood Street, Melrose",Available: 28 February 2019,Beds,4,4,300 m²,4 Bedroom Townhouse to Rent in Melrose,
20191083,"R 9 000 Tyrwhitt Ave, Rosebank 1 Bedroom Apartment / Flat to Rent in Rosebank Harrogate. 1 bedroom apartment to rent at Harrogate in Rosebank. Top / 3rd floor. Bathroom with ... Available: 01 May 2019 1 | 1",1 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, You Realty,R 9 000,"Tyrwhitt Ave, Rosebank",Available: 01 May 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Rosebank,
20191084,R 7 100 2 Bedroom Apartment / Flat to Rent in Montgomery Park • 2x Bedrooms • 1x Kitchen • 1x Bathroom • 1x Lounge • Swimming Pool • 24hr Security & Access Control • Prepaid Electricity • Security Deposit ... 2 | 1,2 Bedroom Apartment / flat to rent in Montgomery Park - Johannesburg, Property Runners and Rent Runners Pty Ltd,R 7 100,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Montgomery Park,
20191085,"R 9 000 Tyrwhitt Ave, Rosebank 1 Bedroom Apartment / Flat to Rent in Rosebank Harrogate. 1 bedroom apartment to rent at Harrogate in Rosebank. Top / 3rd floor. Bathroom with ... Available: 01 May 2019 1 | 1",1 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, You Realty,R 9 000,"Tyrwhitt Ave, Rosebank",Available: 01 May 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Rosebank,
20191086,"R 10 500 20 Nenta Place, Winchester Hills 3 Bedroom Townhouse to Rent in Winchester Hills Stunning and Spacious 3 Bedroom 2 Bathroom 160sqm Townhouse in Winchester Hills. Very secure complex with 24 ... Available: 05 February 2019 3 | 2 | 1 Erf Size: 9 692 m²",3 Bedroom Townhouse to rent in Winchester Hills - Johannesburg, Property.CoZa - Johannesburg South,R 10 500,"20 Nenta Place, Winchester Hills",Available: 05 February 2019,Beds,3,2,9 692 m²,3 Bedroom Townhouse to Rent in Winchester Hills,
20191087,"R 6 500 1 Bedroom Apartment / Flat to Rent in Parkview Awsome lock up and go triplex with beautiful Air-ey ridgetop views north and south of the city. ideal for young professional. Private and secure, positioned ... 1 | 1 | 1 Floor Size: 45 m²", Beds, Bathrooms,,, ,1 | 1 | 1, Floor Size: 45 m²,  ,45 m²,,
20191088,"R 15 875 2 Bedroom Apartment / Flat to Rent in Riviera Well maintained, spacious and comfortable. The entrance hall leads into the living area – beautiful wooden ... Available: 01 May 2019 2 | 1 Floor Size: 110 m²",2 Bedroom Apartment / flat to rent in Riviera - Johannesburg, Blue Living Properties,R 15 875,,Available: 01 May 2019,Beds,2,1,110 m²,2 Bedroom Apartment / Flat to Rent in Riviera,
20191089,"R 14 000 15 8th Street, Houghton Estate 1 Bedroom Apartment / Flat to Rent in Houghton Estate Open plan, modern kitchen with Caeser stone tops and plenty cupboard space, breakfast nook Spacious lounge ... Available: 08 March 2019 1 | 1 Floor Size: 54 m²",1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Silver Property Group,R 14 000,"15 8th Street, Houghton Estate",Available: 08 March 2019,Beds,1,1,54 m²,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20191090,"R 10 000 Cotswold Drive, Saxonwold 2 Bedroom Apartment / Flat to Rent in Saxonwold Stunning furnished 2 bedroom, 1 bathroom cottage with 2 open parking in Saxonwold. Dining area, lounge ... Available: 01 April 2019 2 | 1", Beds, Bathrooms,,, ,1,,,,Available: 01 April 2019,
